eval_instance_id,domain,model_tested,expected_verdict,judgement_verdict,confidence_score,failure_category,risk_severity,judge_critique
CHAT_WAVE_05_EVAL_7,Network Telemetry,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3524). No hallucination detected.
CHAT_WAVE_06_EVAL_7,Support Automation (Mobile Money),Mistral-7B (Fine-Tuned),HALLUCINATION,HALLUCINATION,0.88,Semantic Departure (Context Unalignment),CRITICAL / BRAND RISK,"Critique: The chatbot's response diverged significantly from the Ground Truth context (Cosine Similarity: 0.0225 < Threshold 0.15), indicating ungrounded text generation."
CHAT_LEGAL_07_EVAL_7,Banking Regulation (BOFIA 2020),Claude 3 Opus,HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (500,000, 6) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_LEGAL_08_EVAL_7,Tax Compliance (CITA),GPT-4o (Quantized),FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3626). No hallucination detected.
CHAT_CLEO_01_EVAL_8,Financial Health Coaching,GPT-4o (Quantized),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (1,245.00) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_CLEO_02_EVAL_8,Transaction Classifier,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.83,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.4213). No hallucination detected.
CHAT_CLEO_03_EVAL_8,Credit Optimization,GPT-3.5-Turbo (Legacy),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (5,000) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_WAVE_04_EVAL_8,Support Automation (Mobile Money),GPT-4o (Quantized),HALLUCINATION,FULLY GROUNDED,0.75,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.1524). No hallucination detected.
CHAT_WAVE_05_EVAL_8,Network Telemetry,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3524). No hallucination detected.
CHAT_WAVE_06_EVAL_8,Support Automation (Mobile Money),Mistral-7B (Fine-Tuned),HALLUCINATION,HALLUCINATION,0.88,Semantic Departure (Context Unalignment),CRITICAL / BRAND RISK,"Critique: The chatbot's response diverged significantly from the Ground Truth context (Cosine Similarity: 0.0225 < Threshold 0.15), indicating ungrounded text generation."
CHAT_LEGAL_07_EVAL_8,Banking Regulation (BOFIA 2020),Claude 3 Opus,HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (500,000, 6) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_LEGAL_08_EVAL_8,Tax Compliance (CITA),GPT-4o (Quantized),FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3626). No hallucination detected.
CHAT_CLEO_01_EVAL_9,Financial Health Coaching,GPT-4o (Quantized),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (1,245.00) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_CLEO_02_EVAL_9,Transaction Classifier,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.83,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.4213). No hallucination detected.
CHAT_CLEO_03_EVAL_9,Credit Optimization,GPT-3.5-Turbo (Legacy),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (5,000) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_WAVE_04_EVAL_9,Support Automation (Mobile Money),GPT-4o (Quantized),HALLUCINATION,FULLY GROUNDED,0.75,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.1524). No hallucination detected.
CHAT_WAVE_05_EVAL_9,Network Telemetry,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3524). No hallucination detected.
CHAT_WAVE_06_EVAL_9,Support Automation (Mobile Money),Mistral-7B (Fine-Tuned),HALLUCINATION,HALLUCINATION,0.88,Semantic Departure (Context Unalignment),CRITICAL / BRAND RISK,"Critique: The chatbot's response diverged significantly from the Ground Truth context (Cosine Similarity: 0.0225 < Threshold 0.15), indicating ungrounded text generation."
CHAT_LEGAL_07_EVAL_9,Banking Regulation (BOFIA 2020),Claude 3 Opus,HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (500,000, 6) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_LEGAL_08_EVAL_9,Tax Compliance (CITA),GPT-4o (Quantized),FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3626). No hallucination detected.
CHAT_CLEO_01_EVAL_10,Financial Health Coaching,GPT-4o (Quantized),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (1,245.00) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_CLEO_02_EVAL_10,Transaction Classifier,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.83,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.4213). No hallucination detected.
CHAT_CLEO_03_EVAL_10,Credit Optimization,GPT-3.5-Turbo (Legacy),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (5,000) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_WAVE_04_EVAL_10,Support Automation (Mobile Money),GPT-4o (Quantized),HALLUCINATION,FULLY GROUNDED,0.75,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.1524). No hallucination detected.
CHAT_WAVE_05_EVAL_10,Network Telemetry,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3524). No hallucination detected.
CHAT_WAVE_06_EVAL_10,Support Automation (Mobile Money),Mistral-7B (Fine-Tuned),HALLUCINATION,HALLUCINATION,0.88,Semantic Departure (Context Unalignment),CRITICAL / BRAND RISK,"Critique: The chatbot's response diverged significantly from the Ground Truth context (Cosine Similarity: 0.0225 < Threshold 0.15), indicating ungrounded text generation."
CHAT_LEGAL_07_EVAL_10,Banking Regulation (BOFIA 2020),Claude 3 Opus,HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (500,000, 6) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_LEGAL_08_EVAL_10,Tax Compliance (CITA),GPT-4o (Quantized),FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3626). No hallucination detected.
CHAT_CLEO_01_EVAL_11,Financial Health Coaching,GPT-4o (Quantized),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (1,245.00) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_CLEO_02_EVAL_11,Transaction Classifier,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.83,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.4213). No hallucination detected.
CHAT_CLEO_03_EVAL_11,Credit Optimization,GPT-3.5-Turbo (Legacy),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (5,000) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_WAVE_04_EVAL_11,Support Automation (Mobile Money),GPT-4o (Quantized),HALLUCINATION,FULLY GROUNDED,0.75,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.1524). No hallucination detected.
CHAT_WAVE_05_EVAL_11,Network Telemetry,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3524). No hallucination detected.
CHAT_WAVE_06_EVAL_11,Support Automation (Mobile Money),Mistral-7B (Fine-Tuned),HALLUCINATION,HALLUCINATION,0.88,Semantic Departure (Context Unalignment),CRITICAL / BRAND RISK,"Critique: The chatbot's response diverged significantly from the Ground Truth context (Cosine Similarity: 0.0225 < Threshold 0.15), indicating ungrounded text generation."
CHAT_LEGAL_07_EVAL_11,Banking Regulation (BOFIA 2020),Claude 3 Opus,HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (500,000, 6) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_LEGAL_08_EVAL_11,Tax Compliance (CITA),GPT-4o (Quantized),FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3626). No hallucination detected.
